pid,survey.date,content,energy,lonely,refreshed,restful,sad,sleep,stress
169tvlk4,2018-10-11,1.0,2.0,0.0,2.0,3.0,2.0,5.0,3.0
169tvlk4,2018-10-12,1.0,1.0,1.0,0.0,1.0,2.0,4.0,3.0
169tvlk4,2018-10-13,,,,1.0,2.0,,8.0,
169tvlk4,2018-10-14,2.0,3.0,0.0,1.0,2.0,1.0,12.0,3.0
169tvlk4,2018-10-15,2.0,1.0,0.0,1.0,1.0,0.0,,1.0
169tvlk4,2018-10-16,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0
169tvlk4,2018-10-17,1.0,0.0,0.0,2.0,2.0,3.0,7.0,3.0
169tvlk4,2018-10-18,3.0,3.0,0.0,2.0,1.0,3.0,6.0,0.0
169tvlk4,2018-10-19,,,,2.0,3.0,,12.0,
169tvlk4,2018-10-20,1.0,1.0,0.0,2.0,2.0,1.0,12.0,2.0
169tvlk4,2018-10-21,0.0,1.0,0.0,2.0,2.0,3.0,4.0,3.0
169tvlk4,2018-10-22,,,,2.0,0.0,,0.0,
169tvlk4,2018-10-23,1.0,1.0,0.0,2.0,2.0,0.0,,0.0
169tvlk4,2018-10-24,1.0,1.0,0.0,3.0,2.0,0.0,,2.0
169tvlk4,2018-10-25,2.0,2.0,0.0,1.0,1.0,1.0,11.0,1.0
169tvlk4,2018-10-26,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
169tvlk4,2018-10-27,,,,3.0,3.0,,12.0,
169tvlk4,2018-10-28,1.0,1.0,0.0,2.0,3.0,2.0,,0.0
169tvlk4,2018-10-29,2.0,1.0,0.0,1.0,1.0,2.0,7.0,1.0
169tvlk4,2018-10-30,0.0,0.0,3.0,1.0,1.0,3.0,2.0,3.0
169tvlk4,2018-10-31,,,,3.0,3.0,,4.0,
17buxm98,2019-02-14,,,,3.0,3.0,,7.0,
17buxm98,2019-02-18,,,,2.0,3.0,,7.0,
17buxm98,2019-02-19,1.0,2.0,2.0,,,3.0,,0.0
17buxm98,2019-02-20,1.0,1.0,1.0,,,1.0,,0.0
17buxm98,2019-02-21,,,,3.0,3.0,,,
17buxm98,2019-02-23,2.0,1.0,1.0,,,1.0,,1.0
17buxm98,2019-02-24,,,,1.0,1.0,,7.0,
17buxm98,2019-02-26,1.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0
17buxm98,2019-02-27,1.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0
17buxm98,2019-02-28,1.0,1.0,1.0,3.0,3.0,1.0,6.0,0.0
17buxm98,2019-03-01,1.0,1.0,1.0,1.0,0.0,1.0,7.0,0.0
17buxm98,2019-03-03,3.0,4.0,0.0,2.0,2.0,0.0,4.0,0.0
17buxm98,2019-03-04,,,,3.0,3.0,,6.0,
17buxm98,2019-03-09,1.0,2.0,0.0,2.0,1.0,0.0,10.0,1.0
17buxm98,2019-03-11,2.0,2.0,1.0,3.0,1.0,2.0,8.0,1.0
17buxm98,2019-03-12,2.0,1.0,0.0,2.0,1.0,1.0,6.0,0.0
17f49bhg,2018-10-10,2.0,2.0,0.0,,,1.0,,1.0
17f49bhg,2018-10-11,1.0,2.0,0.0,2.0,3.0,2.0,5.0,3.0
17f49bhg,2018-10-12,1.0,1.0,1.0,0.0,1.0,2.0,4.0,3.0
17f49bhg,2018-10-13,,,,1.0,2.0,,8.0,
17f49bhg,2018-10-14,2.0,3.0,0.0,1.0,2.0,1.0,12.0,3.0
17f49bhg,2018-10-15,2.0,1.0,0.0,1.0,1.0,0.0,,1.0
17f49bhg,2018-10-16,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0
17f49bhg,2018-10-17,1.0,0.0,0.0,2.0,2.0,3.0,7.0,3.0
17f49bhg,2018-10-18,3.0,3.0,0.0,2.0,1.0,3.0,6.0,0.0
17f49bhg,2018-10-19,,,,2.0,3.0,,12.0,
17f49bhg,2018-10-20,1.0,1.0,0.0,2.0,2.0,1.0,12.0,2.0
17f49bhg,2018-10-21,0.0,1.0,0.0,2.0,2.0,3.0,4.0,3.0
17f49bhg,2018-10-22,,,,2.0,0.0,,0.0,
17f49bhg,2018-10-23,1.0,1.0,0.0,2.0,2.0,0.0,,0.0
17f49bhg,2018-10-24,1.0,1.0,0.0,3.0,2.0,0.0,,2.0
17f49bhg,2018-10-25,2.0,2.0,0.0,1.0,1.0,1.0,11.0,1.0
17f49bhg,2018-10-26,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
17f49bhg,2018-10-27,,,,3.0,3.0,,12.0,
17f49bhg,2018-10-28,1.0,1.0,0.0,2.0,3.0,2.0,,0.0
17f49bhg,2018-10-29,2.0,1.0,0.0,1.0,1.0,2.0,7.0,1.0
17f49bhg,2018-10-30,0.0,0.0,3.0,1.0,1.0,3.0,2.0,3.0
17f49bhg,2018-10-31,,,,3.0,3.0,,4.0,
181my5xb,2019-02-14,2.0,2.0,0.0,3.0,3.0,0.0,5.0,1.0
181my5xb,2019-02-15,2.0,4.0,0.0,3.0,2.0,1.0,5.0,1.0
